AFRYKA,EKRAN,KOLEC,MUR,POØAR,SZPITAL,
ALPY,EUROPA,KOMETA,MUSZLA,PRAWNIK,åLIMAK,
AMERYKA,FALA,KOMINIARZ,MUSZTARDA,PRAWO,åLUB,
ANGLIA,FARTUCH,KOM”RKA,MYSZ,PUSTKA,åNIEG,
ATENY,FILM,KONIK POLNY,NAPAD,R KA,åNIEØKA,
ATLANTYDA,FIRANA,KONTRAKT,NARTY,R KAWICA,åWIERK,
AUSTRALIA,FRANCJA,KOPCIUSZEK,NAUKOWIEC,ROBOT,åWIERSZCZ,
BA£WAN,FRANCUZ,KORONA,NI∆,ROWER,TABLICA,
BANDYTA,G£”WKA,KOSA,NOC,R”G,TAKS”WKARZ,
BANK,GNIAZDO,KOåCI”£,NOGA,R”ØA,TALERZ,
B•K,GOTYK,KOå∆,NOWY JORK,RYBAK,TALIA,
BECZKA,GRA,KOT,N”Ø,RYCERZ,TATRY,
BERLIN,GRABARZ,KRAB,OBCY,RZ SA,TEATR,
BESKIDY,GRABIE,KRET,OBRAZ,RZYM,TELEWIZOR,
BIZNES,GRECJA,KREW,OGIE—,SAMOCH”D,TOREBKA, 
B£YSKAWICA,GRZMOT,KR”LEWNA,OKNO,SAMOLOT,TORY,
BOHATER,GUMA,KR”WKA,OLEJ,SANKI,TOSTER,
BOMBA,GUZIK,KSI•ØKA,OLIWA,SATELITA,TRAWA,
BRZOZA,GWIAZDA,KSI ØYC,ORZECH,SATURN,TROLEJBUS,
BUKIET,HAK,KUCHARZ,OåMIORNICA,SCENA,TRUCIZNA,
BUT,HAMBURGER,KUKU£KA,PALUSZKI,SERCE,TULIPAN,
BUTELKA,HELIKOPTER,KUKURYDZA,PAN,SIANO,TWARZ,
BUTY,HIMALAJE,KURTKA,PARYØ,SIE∆,UCHO,
CEBULA,HISZPANIA,LAKIER,PAS,SILNIK,WARSZAWA,
CHINY,HOLANDIA,LAS,PAZNOKCIE,SKORUPA,WIADERKO,
CHMURA,HOT-DOG,LASER,PAZUR,S£O—CE,WIDELEC,
CHWAST,HOTEL,LATO,PIASEK,S£UP,WIEDèMA,
CIE—,HUMOR,LEW,PIERå,SMOK,WIERZBA,
CMENTARZ,IG£A,LIMUZYNA,PIERåCIE—,SMUTEK,WILLA,
CZARODZIEJ,JAGODA,LINA,PIES,SMYCZ,WINNICA,
CZAROWNICA,JASK”£KA,LIå∆,PI£KA,SOK”£,WINO,
CZAS,JASTRZ•B,LODY,PINGWIN,SOSNA,WINOGRONO,
CZERWIEC,JASZCZURKA,LONDYN,PIORUN,SPADEK,WIOS£O,
D•B,JEDNOROØEC,LUTY,PI”RNIK,SPODNIE,WODA,
DESZCZ,JOWISZ,£AWA,PIRAT,SREBRO,WR”ØKA,
DIAMENT,KACZOR,£OPATA,PISTOLET,STADION,WRZESIE—,
DINOZAUR,KAMIE—,£”Dè,PLACEK,STAN,ZAMEK,
DNO,KANTOR,£UK,PLAØA,STATEK,ZAPIEKANKA,
DOKTOR,KAPELUSZ,£YØKA,PLIK,STOKROTKA,Z•B,
DOKUMENT,KASA,MAJ,P£YTA,STOPA,ZEBRA,
DO£ECZEK,KASZTAN,MAMUT,POCAHONTAS,STRAØAK,ZESZYT,
DOM,KAWA,MARCHEW,POCI•G,SUKIENKA,ZIEMIA,
DONICZKA,KEBAB,MARS,POCIECHA,SZAFA,ZIMA,
DRABINA,KETCHUP,MIEDè,POGOTOWIE,SZCZ å∆IE,Z£OTO,
DRUKARKA,KLAMKA,MIKROSKOP,POKA,SZCZUR,ZMYWACZ,
DRZEWO,KLATKA,MILIONER,POLANA,SZCZYT,ØABA,
DRZWI,KLOCKI,MIOT£A,POLE,SZK£O,ØELAZKO,
DUCH,KLON,MODEL,POLICJA,SZKO£A,ØO£NIERZ,
DZIE—,KLUCZ,MORZE,POWIETRZE,SZPIEG,ØONKIL,
DZI CIO£,KOGUT,MOTYL,POW”Dè,SZPILKA,ØYTO,
